State/UT,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total,Total-Scale,State/UT_encoded,Mean_2002_2021,Std_2002_2021,YoY_2021
ANDHRA PRADESH,261,221,101,82,116,69,103,38,171,372,454,964,282,536,616,931,1207,1886,1899,1875,12184,4.352183504,1,609.2,640.4525209404264,-24
ARUNANCHAL PRADESH,0,0,0,0,0,0,0,1,3,14,12,15,18,6,4,1,7,8,30,47,166,2.516154704,2,8.3,12.131299231847823,17
ASSAM,2,0,0,1,1,0,2,4,18,31,28,156,379,483,696,1120,2022,2231,3530,4846,15550,4.488947997,3,777.5,1358.4533194234652,1316
BIHAR,0,0,0,0,0,0,0,0,2,38,30,368,114,242,309,433,374,1050,1512,1413,5885,4.043666472,4,294.25,474.93654700834566,-99
CHHATTISGARH,0,0,0,46,30,57,20,50,50,78,59,151,123,103,90,171,139,175,297,352,1991,3.571390851,6,99.55,94.85860668994614,55
GOA,8,2,0,0,0,4,6,12,16,18,32,69,62,17,31,13,29,15,40,36,410,2.871905169,9,20.5,19.800318976697,-4
GUJARAT,250,29,126,155,6,3,33,36,55,67,78,142,227,242,362,458,702,784,1283,1536,6574,4.111121646,10,328.7,431.783705599288,253
HARYANA,2,1,0,9,2,0,0,0,1,45,182,517,151,224,401,504,418,564,656,622,4299,3.87964505,11,214.95,248.81751397994051,-34
HIMACHAL PRADESH,99,87,0,0,0,0,6,6,17,12,20,41,38,50,31,56,69,76,98,70,776,3.169341524,12,38.8,34.739027044521556,-28
JAMMU & KASHMIR,1,0,1,0,0,0,0,0,6,14,35,62,37,34,28,63,73,73,120,154,701,3.108161043,13,35.05,44.0005681781497,34
JHARKHAND,0,0,0,0,0,0,0,0,0,33,35,46,93,180,259,720,930,1095,1204,953,5548,4.043273527,14,277.4,430.0363999281431,-251
KARNATAKA,15,8,14,38,27,41,57,97,176,160,437,637,1020,1447,1101,3174,5839,12020,10741,8136,45185,4.95016348,15,2259.25,3791.5743414632007,-2605
KERALA,4,1,2,3,12,38,67,71,156,245,312,552,450,290,283,320,340,307,426,626,4505,3.901654469,16,225.25,196.69583117087154,200
MADHYA PRADESH,0,0,0,0,131,164,11,17,35,103,197,519,289,231,258,490,740,602,699,589,5075,3.961974207,18,253.75,258.1066436062509,-110
MAHARASHTRA,13,17,21,27,39,50,39,161,246,393,561,1510,1879,2195,2380,3604,3511,4967,5496,5562,32671,4.79504881,19,1633.55,1981.6940779093661,66
MANIPUR,0,0,0,0,0,0,0,1,0,0,0,1,13,6,11,74,29,4,79,67,285,2.777045445,20,14.25,26.48708722139307,-12
MEGHALAYA,0,0,0,0,2,0,0,0,0,6,6,17,60,56,39,39,74,89,142,107,637,3.106124282,21,31.85,42.83662353395134,-35
MIZORAM,0,0,0,0,0,0,0,0,2,3,0,0,22,8,1,10,6,8,13,30,103,2.376708105,22,5.15,8.27345151674922,17
NAGALAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,8,8,22,1.854573631,23,1.1,2.468752081944492,0
ODISHA,4,5,1,6,0,0,15,13,12,12,27,166,124,386,317,824,843,1485,1931,2037,8208,4.20763185,25,410.4,664.8435827122679,106
